Date,Type,Count
2020-03-29,Confirmed,115
2020-03-29,Recovered,10
2020-03-29,Deaths,1
2020-03-29,Active,104
2020-03-30,Confirmed,120
2020-03-30,Recovered,11
2020-03-30,Deaths,1
2020-03-30,Active,108
2020-03-31,Confirmed,122
2020-03-31,Recovered,16
2020-03-31,Deaths,2
2020-03-31,Active,104
2020-04-01,Confirmed,143
2020-04-01,Recovered,18
2020-04-01,Deaths,2
2020-04-01,Active,123
2020-04-02,Confirmed,148
2020-04-02,Recovered,21
2020-04-02,Deaths,3
2020-04-02,Active,124
2020-04-03,Confirmed,151
2020-04-03,Recovered,22
2020-04-03,Deaths,4
2020-04-03,Active,125
2020-04-04,Confirmed,159
2020-04-04,Recovered,25
2020-04-04,Deaths,5
2020-04-04,Active,129
2020-04-05,Confirmed,166
2020-04-05,Recovered,29
2020-04-05,Deaths,5
2020-04-05,Active,132
2020-04-06,Confirmed,176
2020-04-06,Recovered,34
2020-04-06,Deaths,5
2020-04-06,Active,137
2020-04-07,Confirmed,180
2020-04-07,Recovered,42
2020-04-07,Deaths,6
2020-04-07,Active,132
2020-04-08,Confirmed,186
2020-04-08,Recovered,42
2020-04-08,Deaths,6
2020-04-08,Active,138
2020-04-09,Confirmed,189
2020-04-09,Recovered,47
2020-04-09,Deaths,7
2020-04-09,Active,135
2020-04-10,Confirmed,190
2020-04-10,Recovered,50
2020-04-10,Deaths,7
2020-04-10,Active,133
2020-04-11,Confirmed,197
2020-04-11,Recovered,54
2020-04-11,Deaths,7
2020-04-11,Active,136
2020-04-12,Confirmed,199
2020-04-12,Recovered,55
2020-04-12,Deaths,7
2020-04-12,Active,137
2020-04-13,Confirmed,210
2020-04-13,Recovered,56
2020-04-13,Deaths,7
2020-04-13,Active,147
2020-04-14,Confirmed,218
2020-04-14,Recovered,59
2020-04-14,Deaths,7
2020-04-14,Active,152
2020-04-15,Confirmed,233
2020-04-15,Recovered,63
2020-04-15,Deaths,7
2020-04-15,Active,163
2020-04-16,Confirmed,238
2020-04-16,Recovered,65
2020-04-16,Deaths,7
2020-04-16,Active,166
2020-04-17,Confirmed,238
2020-04-17,Recovered,70
2020-04-17,Deaths,7
2020-04-17,Active,161
2020-04-18,Confirmed,244
2020-04-18,Recovered,77
2020-04-18,Deaths,7
2020-04-18,Active,160
2020-04-19,Confirmed,254
2020-04-19,Recovered,91
2020-04-19,Deaths,7
2020-04-19,Active,156
2020-04-20,Confirmed,271
2020-04-20,Recovered,97
2020-04-20,Deaths,7
2020-04-20,Active,167
2020-04-21,Confirmed,304
2020-04-21,Recovered,100
2020-04-21,Deaths,7
2020-04-21,Active,197
2020-04-22,Confirmed,310
2020-04-22,Recovered,104
2020-04-22,Deaths,7
2020-04-22,Active,199
2020-04-23,Confirmed,330
2020-04-23,Recovered,105
2020-04-23,Deaths,7
2020-04-23,Active,218
2020-04-24,Confirmed,368
2020-04-24,Recovered,107
2020-04-24,Deaths,7
2020-04-24,Active,254
2020-04-25,Confirmed,420
2020-04-25,Recovered,116
2020-04-25,Deaths,7
2020-04-25,Active,297
2020-04-26,Confirmed,460
2020-04-26,Recovered,120
2020-04-26,Deaths,7
2020-04-26,Active,333
2020-04-27,Confirmed,523
2020-04-27,Recovered,126
2020-04-27,Deaths,7
2020-04-27,Active,390
2020-04-28,Confirmed,588
2020-04-28,Recovered,134
2020-04-28,Deaths,7
2020-04-28,Active,447
2020-04-29,Confirmed,619
2020-04-29,Recovered,134
2020-04-29,Deaths,7
2020-04-29,Active,478
2020-04-30,Confirmed,649
2020-04-30,Recovered,139
2020-04-30,Deaths,7
2020-04-30,Active,503
2020-05-01,Confirmed,665
2020-05-01,Recovered,157
2020-05-01,Deaths,7
2020-05-01,Active,501
2020-05-02,Confirmed,690
2020-05-02,Recovered,172
2020-05-02,Deaths,7
2020-05-02,Active,511
2020-05-03,Confirmed,705
2020-05-03,Recovered,182
2020-05-03,Deaths,7
2020-05-03,Active,516
2020-05-04,Confirmed,718
2020-05-04,Recovered,187
2020-05-04,Deaths,7
2020-05-04,Active,523
2020-05-05,Confirmed,755
2020-05-05,Recovered,197
2020-05-05,Deaths,8
2020-05-05,Active,550
2020-05-06,Confirmed,771
2020-05-06,Recovered,215
2020-05-06,Deaths,9
2020-05-06,Active,547
2020-05-07,Confirmed,797
2020-05-07,Recovered,232
2020-05-07,Deaths,9
