Date,District,Count
2021-08-01,Colombo,71267
2021-08-01,Gampaha,56085
2021-08-01,Kalutara,33300
2021-08-01,Kandy,14576
2021-08-01,Kurunagala,15327
2021-08-01,Galle,14841
2021-08-01,Ratnapura,12267
2021-08-01,Matara,7778
2021-08-01,Matale,5694
2021-08-01,Nuwara Eliya,7917
2021-08-01,Kegalle,6792
2021-08-01,Jaffna,6178
2021-08-01,Badulla,7345
2021-08-01,Puttalam,5549
2021-08-01,Anuradhapura,4213
2021-08-01,Hambantota,3727
2021-08-01,Trincomalee,3308
2021-08-01,Monaragala,3569
2021-08-01,Polonnaruwa,2833
2021-08-01,Ampara,2117
2021-08-01,Kalmunai,2902
2021-08-01,Batticaloa,3180
2021-08-01,Vavuniya,1725
2021-08-01,Mullaitivu,1116
2021-08-01,Kilinochchi,1480
2021-08-01,Mannar,1320
2021-08-02,Colombo,71928
2021-08-02,Gampaha,56525
2021-08-02,Kalutara,33501
2021-08-02,Kandy,14607
2021-08-02,Kurunagala,15400
2021-08-02,Galle,14963
2021-08-02,Ratnapura,12313
2021-08-02,Matara,7853
2021-08-02,Matale,5768
2021-08-02,Nuwara Eliya,7947
2021-08-02,Kegalle,6814
2021-08-02,Jaffna,6220
2021-08-02,Badulla,7406
2021-08-02,Puttalam,5575
2021-08-02,Anuradhapura,4241
2021-08-02,Hambantota,3783
2021-08-02,Trincomalee,3319
2021-08-02,Monaragala,3592
2021-08-02,Polonnaruwa,2848
2021-08-02,Ampara,2125
2021-08-02,Kalmunai,2910
2021-08-02,Batticaloa,3181
2021-08-02,Vavuniya,1726
2021-08-02,Mullaitivu,1129
2021-08-02,Kilinochchi,1515
2021-08-02,Mannar,1355
2021-08-03,Colombo,72541
2021-08-03,Gampaha,56956
2021-08-03,Kalutara,33882
2021-08-03,Kandy,14823
2021-08-03,Kurunagala,15453
2021-08-03,Galle,15043
2021-08-03,Ratnapura,12363
2021-08-03,Matara,7864
2021-08-03,Matale,5883
2021-08-03,Nuwara Eliya,8009
2021-08-03,Kegalle,6855
2021-08-03,Jaffna,6253
2021-08-03,Badulla,7467
2021-08-03,Puttalam,5622
2021-08-03,Anuradhapura,4264
2021-08-03,Hambantota,3792
2021-08-03,Trincomalee,3335
2021-08-03,Monaragala,3678
2021-08-03,Polonnaruwa,2852
2021-08-03,Ampara,2137
2021-08-03,Kalmunai,2916
2021-08-03,Batticaloa,3203
2021-08-03,Vavuniya,1743
2021-08-03,Mullaitivu,1132
2021-08-03,Kilinochchi,1518
2021-08-03,Mannar,1389
2021-08-04,Colombo,73373
2021-08-04,Gampaha,57443
2021-08-04,Kalutara,34165
2021-08-04,Kandy,14880
2021-08-04,Kurunagala,15559
2021-08-04,Galle,15125
2021-08-04,Ratnapura,12383
2021-08-04,Matara,7923
2021-08-04,Matale,5883
2021-08-04,Nuwara Eliya,8098
2021-08-04,Kegalle,6887
2021-08-04,Jaffna,6313
2021-08-04,Badulla,7505
2021-08-04,Puttalam,5663
2021-08-04,Anuradhapura,4268
2021-08-04,Hambantota,3882
2021-08-04,Trincomalee,3340
2021-08-04,Monaragala,3687
2021-08-04,Polonnaruwa,2858
2021-08-04,Ampara,2144
2021-08-04,Kalmunai,2926
2021-08-04,Batticaloa,3236
2021-08-04,Vavuniya,1757
2021-08-04,Mullaitivu,1133
2021-08-04,Kilinochchi,1520
2021-08-04,Mannar,1394
2021-08-05,Colombo,74196
2021-08-05,Gampaha,57788
2021-08-05,Kalutara,34325
2021-08-05,Kandy,14955
2021-08-05,Kurunagala,15692
2021-08-05,Galle,15290
2021-08-05,Ratnapura,12483
2021-08-05,Matara,7967
2021-08-05,Matale,5902
2021-08-05,Nuwara Eliya,8121
2021-08-05,Kegalle,6898
2021-08-05,Jaffna,6405
2021-08-05,Badulla,7575
2021-08-05,Puttalam,5740
2021-08-05,Anuradhapura,4300
2021-08-05,Hambantota,3930
2021-08-05,Trincomalee,3344
2021-08-05,Monaragala,3724
2021-08-05,Polonnaruwa,2896
2021-08-05,Ampara,2150
2021-08-05,Kalmunai,2928
